year,month,day,cloud,humidity,pressure,rainfall,temperature
2000,4,2,92,90,1009.5,47.9,21.3
2000,4,3,93,95,1009.2,124.2,22.4
2000,4,4,92,93,1010.1,0.3,21.0
2000,4,5,86,81,1012.4,2.3,21.9
2000,4,6,89,76,1015.4,0.05,20.1
2000,4,7,95,79,1015.9,0.05,20.7
2000,4,8,92,84,1014.6,0.05,21.1
2000,4,9,77,84,1013.0,0.05,22.0
2000,4,10,91,86,1013.8,0.3,23.2
2000,4,11,86,79,1015.4,0.05,21.2
2000,4,12,90,84,1012.1,0.8,22.0
2000,4,13,88,93,1008.9,16.8,23.1
2000,4,14,91,91,1006.7,60.8,24.4
2000,4,15,83,73,1012.1,2.1,22.2
2000,4,16,49,62,1015.1,0.0,21.3
2000,4,17,76,74,1015.3,0.0,21.7
2000,4,18,76,81,1013.7,0.0,23.1
2000,4,19,65,85,1010.9,0.05,25.1
2000,4,20,67,81,1009.0,0.0,26.3
2000,4,21,85,90,1009.7,0.7,25.8
2000,4,22,86,85,1009.4,16.5,26.4
2000,4,23,96,97,1009.2,172.5,23.4
2000,4,24,96,93,1008.5,1.0,22.4
2000,4,25,85,85,1006.3,0.1,26.3
2000,4,26,89,86,1006.7,33.3,26.8
2000,4,27,88,87,1010.1,1.9,23.6
2000,4,28,92,94,1010.9,54.2,20.7
2000,4,29,91,95,1011.7,9.9,22.6
2000,4,30,87,89,1010.1,0.6,26.3
2000,5,1,82,85,1008.5,10.0,27.6
2000,5,2,94,94,1010.1,69.1,24.9
2000,5,3,92,87,1012.4,5.1,22.3
2000,5,4,60,80,1012.8,0.0,22.7
2000,5,5,49,81,1013.0,0.0,24.5
2000,5,6,43,83,1012.8,0.0,25.6
2000,5,7,70,82,1012.3,0.0,25.5
2000,5,8,85,81,1011.2,0.0,24.4
2000,5,9,90,82,1008.1,0.0,24.8
2000,5,10,95,95,1006.7,50.7,23.5
2000,5,11,88,82,1007.0,0.6,24.2
2000,5,12,89,82,1006.8,0.05,25.2
2000,5,13,78,79,1007.1,0.0,26.2
2000,5,14,88,79,1007.9,0.0,26.5
2000,5,15,56,78,1007.3,0.0,27.4
2000,5,16,5,71,1006.0,0.0,28.0
2000,5,17,62,79,1006.5,0.05,26.9
2000,5,18,80,80,1007.0,0.3,26.2
2000,5,19,93,80,1007.6,1.3,23.4
2000,5,20,88,63,1008.1,0.05,25.2
2000,5,21,88,56,1009.2,0.0,25.6
2000,5,22,83,71,1010.8,0.05,26.0
2000,5,23,86,78,1010.3,0.0,25.7
2000,5,24,92,89,1008.1,29.4,25.2
2000,5,25,82,85,1005.0,36.9,27.3
2000,5,26,81,80,1004.7,0.05,28.5
2000,5,27,82,80,1006.2,0.6,29.0
2000,5,28,82,80,1008.1,0.05,29.2
2000,5,29,64,81,1009.0,4.3,28.9
2000,5,30,61,82,1008.2,0.05,28.9
2000,5,31,51,75,1007.4,0.05,29.6
2000,6,1,75,78,1008.6,0.05,29.4
2000,6,2,58,77,1010.0,0.05,29.5
2000,6,3,34,74,1009.2,0.0,29.6
2000,6,4,16,75,1007.5,0.0,29.5
2000,6,5,18,74,1006.2,0.0,30.4
2000,6,6,71,76,1007.3,0.0,29.9
2000,6,7,69,74,1007.9,1.3,29.9
2000,6,8,83,77,1007.3,3.9,29.6
2000,6,9,87,79,1006.3,9.8,29.4
2000,6,10,88,76,1006.1,0.05,30.1
2000,6,11,88,77,1004.5,0.2,29.6
2000,6,12,97,89,1004.1,140.2,24.9
2000,6,13,99,81,1007.2,0.4,22.5
2000,6,14,88,64,1007.3,0.05,24.5
2000,6,15,69,66,1005.4,0.0,25.9
2000,6,16,67,74,1005.1,0.0,26.9
2000,6,17,94,89,1005.8,57.2,25.7
2000,6,18,97,96,1004.1,168.1,25.7
2000,6,19,87,83,1006.4,1.7,27.3
2000,6,20,92,89,1008.1,31.4,26.5
2000,6,21,79,81,1009.2,2.6,28.4
2000,6,22,84,77,1009.1,0.05,29.0
2000,6,23,85,81,1007.7,22.8,28.2
2000,6,24,78,77,1007.1,0.1,29.1
2000,6,25,76,79,1007.8,3.4,28.9
2000,6,26,57,77,1008.7,0.2,29.3
2000,6,27,56,79,1009.3,0.0,29.4
2000,6,28,53,74,1008.1,0.0,29.5
2000,6,29,31,74,1006.3,0.0,29.8
2000,6,30,36,72,1006.6,0.0,30.0
2000,7,1,58,72,1006.7,0.0,30.1
2000,7,2,85,85,1005.7,14.8,28.5
2000,7,3,84,82,1004.1,15.1,28.6
2000,7,4,63,72,1002.0,0.0,29.7
2000,7,5,85,78,1001.7,0.2,29.1
2000,7,6,85,79,1001.7,0.2,28.2
2000,7,7,91,85,1000.2,14.7,27.9
2000,7,8,87,79,999.0,5.8,28.6
2000,7,9,61,77,999.1,0.05,29.0
2000,7,10,53,78,1002.6,11.6,29.2
2000,7,11,83,87,1005.9,15.7,28.2
2000,7,12,81,84,1008.3,21.3,28.3
2000,7,13,58,78,1006.7,0.0,29.2
2000,7,14,53,77,1004.3,0.3,29.5
2000,7,15,69,75,1002.2,2.1,29.5
2000,7,16,89,83,1000.9,34.9,28.1
2000,7,17,92,86,1000.1,53.8,27.2
2000,7,18,91,86,1000.3,50.7,27.2
2000,7,19,93,85,1002.6,13.8,27.8
2000,7,20,93,89,1006.6,10.3,26.6
2000,7,21,89,92,1009.0,33.6,26.6
2000,7,22,70,81,1007.4,0.6,28.4
2000,7,23,31,76,1004.7,0.0,28.8
2000,7,24,41,73,1004.2,0.0,29.5
2000,7,25,37,73,1003.7,0.05,29.9
2000,7,26,45,75,1002.9,0.0,30.2
2000,7,27,77,77,1001.4,0.0,30.2
2000,7,28,50,74,1002.9,0.0,30.3
2000,7,29,62,74,1003.7,0.0,30.1
2000,7,30,60,76,1004.1,0.05,30.2
2000,7,31,85,80,1004.4,4.5,29.7
2000,8,1,91,89,1005.4,70.0,26.4
2000,8,2,89,90,1005.4,31.6,26.4
2000,8,3,90,92,1005.0,88.7,25.9
2000,8,4,96,95,1006.0,77.8,25.6
2000,8,5,89,91,1007.4,6.4,25.6
2000,8,6,82,87,1008.2,26.6,26.5
2000,8,7,43,82,1009.0,0.05,28.0
2000,8,8,44,77,1009.6,0.0,28.7
2000,8,9,23,77,1008.1,0.0,29.2
2000,8,10,24,77,1005.0,0.0,29.8
2000,8,11,45,78,1003.1,0.0,30.1
2000,8,12,68,77,1005.1,0.05,30.0
2000,8,13,80,76,1005.7,0.0,30.1
2000,8,14,82,78,1005.2,0.3,29.9
2000,8,15,84,80,1005.1,3.5,29.5
2000,8,16,88,80,1005.2,8.2,29.2
2000,8,17,76,76,1007.3,0.0,29.6
2000,8,18,58,80,1008.6,0.05,29.3
2000,8,19,31,78,1006.5,0.0,29.7
2000,8,20,37,77,1004.9,0.0,30.0
2000,8,21,61,78,1004.6,3.6,29.8
2000,8,22,47,72,1003.9,0.0,30.0
2000,8,23,87,77,999.4,5.9,29.1
2000,8,24,91,85,1001.4,153.2,28.0
2000,8,25,87,82,1004.2,25.4,28.6
2000,8,26,91,92,1004.0,54.0,26.7
2000,8,27,89,93,1002.3,24.3,26.4
2000,8,28,84,81,1001.3,0.05,27.7
2000,8,29,67,68,999.0,0.5,29.9
2000,8,30,82,73,997.4,0.0,29.7
2000,8,31,90,82,996.7,20.7,28.5
2000,9,1,96,85,998.9,50.8,28.0
2000,9,2,92,91,1004.9,93.9,27.1
2000,9,3,77,87,1007.0,0.3,27.8
2000,9,4,54,81,1006.1,0.0,28.6
2000,9,5,70,77,1003.2,0.0,29.2
2000,9,6,70,75,1003.8,0.05,28.9
2000,9,7,64,68,1005.7,0.05,28.6
2000,9,8,88,73,1007.1,1.7,27.5
2000,9,9,77,72,1008.6,0.8,27.5
2000,9,10,60,67,1007.2,0.0,27.2
2000,9,11,30,63,1006.0,0.0,27.7
2000,9,12,26,57,1007.0,0.0,27.7
2000,9,13,4,50,1005.9,0.0,27.4
2000,9,14,2,43,1004.2,0.0,27.2
2000,9,15,3,39,1005.1,0.0,27.5
2000,9,16,20,54,1009.2,0.0,27.1
2000,9,17,69,75,1011.1,0.0,27.3
2000,9,18,73,74,1011.9,0.05,27.3
2000,9,19,78,68,1012.9,0.0,27.2
2000,9,20,88,78,1013.9,4.5,26.3
2000,9,21,79,78,1015.1,0.6,27.3
2000,9,22,67,77,1014.9,0.0,27.5
2000,9,23,79,79,1013.5,0.0,27.8
2000,9,24,82,80,1011.7,0.0,27.4
2000,9,25,61,80,1011.2,0.05,27.7
2000,9,26,73,78,1011.9,0.0,27.9
2000,9,27,76,78,1012.3,0.0,27.7
2000,9,28,68,80,1012.6,0.0,27.9
2000,9,29,52,80,1013.0,0.05,28.2
2000,9,30,41,78,1014.0,0.0,28.3
2000,10,1,30,77,1014.3,0.0,28.2
2000,10,2,29,73,1012.4,0.0,28.3
2000,10,3,44,72,1010.8,0.0,28.3
2000,10,4,68,77,1011.1,0.05,28.1
2000,10,5,74,84,1012.3,4.7,27.5
2000,10,6,79,82,1012.6,1.0,27.9
2000,10,7,76,81,1011.7,0.8,27.8
2000,10,8,54,81,1009.7,4.0,27.8
2000,10,9,58,74,1009.7,0.05,27.9
2000,10,10,42,70,1009.8,0.05,28.1
2000,10,11,81,76,1009.4,0.6,28.2
2000,10,12,93,74,1008.7,3.9,27.4
2000,10,13,98,77,1008.4,5.0,24.3
2000,10,14,95,83,1010.8,4.9,22.5
2000,10,15,90,75,1014.7,0.05,23.7
2000,10,16,63,71,1015.2,0.1,24.8
2000,10,17,63,69,1012.7,0.05,25.3
2000,10,18,89,77,1011.5,0.05,25.1
2000,10,19,91,86,1011.6,17.8,24.1
2000,10,20,99,94,1011.4,116.0,24.1
2000,10,21,95,94,1011.3,27.6,24.5
2000,10,22,87,92,1010.8,10.7,26.6
2000,10,23,76,91,1011.2,5.1,26.5
2000,10,24,49,83,1012.8,0.05,27.6
2000,10,25,69,79,1014.0,1.9,27.3
2000,10,26,79,80,1015.1,0.0,26.6
2000,10,27,84,79,1016.4,0.0,25.6
2000,10,28,78,75,1015.2,0.0,25.1
2000,10,29,27,65,1013.4,0.0,23.1
2000,10,30,49,53,1011.4,0.0,21.1
2000,10,31,61,52,1009.6,0.0,21.4
2000,11,1,27,47,1013.3,0.0,20.7
2000,11,2,10,50,1017.3,0.0,19.9
2000,11,3,33,57,1016.8,0.0,21.5
2000,11,4,85,58,1015.6,0.05,22.2
2000,11,5,74,67,1011.7,0.0,23.5
2000,11,6,88,76,1009.9,0.1,23.7
2000,11,7,95,89,1010.3,23.5,23.2
2000,11,8,91,90,1011.6,3.1,24.0
2000,11,9,89,82,1013.7,0.05,23.0
2000,11,10,74,78,1017.8,0.4,23.7
2000,11,11,90,81,1018.9,13.7,21.0
2000,11,12,92,91,1019.4,44.1,15.7
2000,11,13,73,79,1017.8,0.05,18.1
2000,11,14,45,74,1016.1,0.0,22.1
2000,11,15,74,75,1016.3,0.0,24.1
2000,11,16,88,80,1017.6,9.6,21.2
2000,11,17,88,72,1018.8,0.05,19.5
2000,11,18,88,76,1018.4,0.05,19.9
2000,11,19,88,78,1016.2,0.05,21.3
2000,11,20,85,66,1018.3,0.05,17.7
2000,11,21,70,56,1020.5,0.0,15.8
2000,11,22,7,64,1020.4,0.0,17.6
2000,11,23,33,75,1019.5,0.0,19.7
2000,11,24,82,78,1017.2,0.0,21.0
2000,11,25,46,80,1016.3,0.0,21.7
2000,11,26,69,81,1017.1,2.3,22.3
2000,11,27,67,84,1018.0,0.0,22.5
2000,11,28,88,80,1018.5,0.0,21.4
2000,11,29,69,77,1018.4,0.0,21.0
2000,11,30,36,80,1016.6,0.0,21.3
2000,12,1,56,78,1015.8,0.0,22.4
2000,12,2,56,80,1018.0,0.5,21.3
2000,12,3,41,66,1018.9,0.0,18.6
2000,12,4,69,70,1017.6,0.0,18.1
2000,12,5,44,74,1017.6,0.0,19.6
2000,12,6,49,79,1018.1,0.0,20.1
2000,12,7,61,80,1018.0,0.0,20.8
2000,12,8,51,79,1017.0,0.0,20.5
2000,12,9,38,77,1015.7,0.0,20.2
2000,12,10,63,71,1016.9,0.0,21.6
2000,12,11,89,81,1019.5,1.7,20.5
2000,12,12,96,94,1019.8,25.8,16.2
2000,12,13,95,92,1018.4,24.8,12.7
2000,12,14,58,76,1019.7,0.0,15.8
2000,12,15,85,75,1020.2,0.05,18.2
2000,12,16,70,77,1019.9,0.0,20.2
2000,12,17,77,76,1018.4,0.0,21.3
2000,12,18,88,85,1016.0,0.05,20.9
2000,12,19,88,87,1016.2,2.4,20.7
2000,12,20,88,86,1017.6,0.6,20.3
2000,12,21,77,67,1019.8,0.0,15.9
2000,12,22,49,72,1018.9,0.0,14.8
2000,12,23,4,63,1018.9,0.0,16.3
2000,12,24,2,64,1019.7,0.0,17.5
2000,12,25,13,73,1020.9,0.0,18.4
2000,12,26,69,73,1021.8,0.0,18.6
2000,12,27,87,73,1020.4,0.2,19.2
2000,12,28,32,73,1019.0,0.0,20.1
2000,12,29,17,79,1017.7,0.0,18.7
2000,12,30,5,67,1016.2,0.0,18.1
2000,12,31,0,57,1016.9,0.0,16.7
2001,1,1,41,69,1017.9,0.0,16.4
2001,1,2,61,78,1016.7,0.0,17.9
2001,1,3,35,82,1017.6,0.0,18.3
2001,1,4,86,80,1019.6,0.05,18.4
2001,1,5,57,79,1019.8,0.05,18.6
2001,1,6,48,81,1017.4,0.0,19.0
2001,1,7,7,79,1014.4,0.0,20.1
2001,1,8,55,81,1014.2,0.0,19.6
2001,1,9,56,74,1015.3,0.0,19.0
2001,1,10,92,71,1015.9,0.0,15.8
2001,1,11,94,80,1015.3,0.4,16.5
2001,1,12,82,81,1016.2,0.0,18.1
2001,1,13,56,71,1017.5,0.7,17.2
2001,1,14,31,69,1021.5,0.0,16.5
2001,1,15,67,65,1024.6,0.0,14.7
2001,1,16,77,66,1025.5,0.05,15.3
2001,1,17,36,70,1023.3,0.0,16.2
2001,1,18,53,75,1020.3,0.0,18.4
2001,1,19,53,75,1019.7,0.0,19.6
2001,1,20,40,71,1017.7,0.0,20.3
2001,1,21,76,84,1015.6,0.0,18.9
2001,1,22,85,84,1013.5,0.0,20.0
2001,1,23,99,92,1014.8,0.3,19.0
2001,1,24,100,91,1012.7,0.05,18.7
2001,1,25,93,95,1008.6,2.3,19.6
2001,1,26,89,80,1013.5,27.3,13.7
2001,1,27,91,80,1017.4,6.4,12.5
2001,1,28,96,87,1020.4,10.2,11.2
2001,1,29,88,70,1021.0,0.0,13.8
2001,1,30,82,75,1018.1,0.0,15.8
2001,1,31,88,83,1015.0,0.0,16.9
2001,2,1,89,81,1014.0,0.05,17.3
2001,2,2,91,82,1015.4,0.05,14.0
2001,2,3,100,91,1014.4,0.1,15.1
2001,2,4,100,91,1015.7,0.05,15.4
2001,2,5,79,89,1015.0,0.05,17.3
2001,2,6,77,87,1012.8,0.0,19.5
2001,2,7,49,81,1014.7,0.0,20.0
2001,2,8,90,74,1019.2,0.0,15.6
2001,2,9,85,75,1019.2,0.05,16.0
2001,2,10,89,76,1019.0,1.0,15.7
2001,2,11,78,80,1017.9,0.05,17.1
2001,2,12,69,79,1016.4,0.0,19.4
2001,2,13,89,78,1018.5,0.05,17.6
2001,2,14,59,63,1023.1,0.0,13.3
2001,2,15,32,64,1023.0,0.0,15.2
2001,2,16,49,70,1023.7,0.0,16.8
2001,2,17,62,69,1021.0,0.0,16.4
2001,2,18,37,75,1017.1,0.0,19.3
2001,2,19,11,78,1016.3,0.0,20.3
2001,2,20,14,76,1015.3,0.0,19.7
2001,2,21,59,75,1013.4,0.0,20.7
2001,2,22,7,78,1012.3,0.0,21.1
2001,2,23,17,75,1010.8,0.0,21.0
2001,2,24,59,78,1012.1,0.0,21.6
2001,2,25,89,80,1018.5,8.8,15.4
2001,2,26,96,85,1019.1,0.05,14.8
2001,2,27,88,81,1018.4,0.05,18.9
2001,2,28,83,86,1017.3,1.0,18.5
2001,3,1,31,63,1019.4,0.0,17.7
2001,3,2,55,65,1019.4,0.0,18.1
2001,3,3,83,72,1018.7,0.05,19.9
2001,3,4,23,46,1020.2,0.0,19.6
2001,3,5,40,68,1017.5,0.0,19.1
2001,3,6,58,79,1015.9,0.0,20.9
2001,3,7,72,85,1015.8,0.05,21.6
2001,3,8,94,77,1022.0,0.05,16.6
2001,3,9,87,65,1022.1,0.05,16.6
2001,3,10,90,70,1019.3,0.05,18.0
2001,3,11,100,85,1018.5,2.7,18.3
2001,3,12,90,76,1019.7,1.3,18.2
2001,3,13,76,64,1019.2,0.0,18.5
2001,3,14,73,81,1017.8,0.05,20.3
2001,3,15,45,79,1015.4,0.0,22.2
2001,3,16,82,89,1012.0,0.05,21.8
2001,3,17,77,85,1011.4,0.05,22.9
2001,3,18,74,86,1014.3,0.05,21.5
2001,3,19,94,84,1014.6,0.05,20.7
2001,3,20,92,85,1011.8,0.1,23.0
2001,3,21,31,72,1011.0,0.0,22.6
2001,3,22,73,84,1010.2,0.0,22.5
2001,3,23,80,84,1009.5,0.2,24.4
2001,3,24,86,81,1007.9,0.05,25.5
2001,3,25,80,87,1006.4,46.2,23.7
2001,3,26,84,82,1008.3,0.05,20.1
2001,3,27,97,89,1007.5,5.4,19.8
2001,3,28,86,79,1010.8,0.05,21.0
2001,3,29,51,71,1013.9,0.6,19.9
2001,3,30,44,75,1015.1,0.0,20.4
2001,3,31,72,81,1016.5,0.05,21.9
2001,4,1,91,82,1017.1,0.05,20.4
2001,4,2,60,83,1012.6,0.05,21.9
2001,4,3,66,81,1010.3,0.0,24.0
2001,4,4,96,93,1012.2,41.3,20.7
2001,4,5,92,89,1013.6,17.9,19.9
2001,4,6,98,92,1013.3,5.0,20.2
2001,4,7,99,92,1011.9,0.2,20.8
2001,4,8,96,90,1006.3,0.1,24.3
2001,4,9,96,95,1008.7,46.6,23.1
2001,4,10,98,89,1012.7,0.3,21.4
2001,4,11,91,84,1015.7,4.2,18.1
2001,4,12,46,65,1016.6,0.0,17.8
2001,4,13,96,76,1016.2,0.05,19.4
2001,4,14,93,72,1018.3,0.05,21.1
2001,4,15,59,74,1016.8,0.0,22.2
2001,4,16,77,82,1013.2,0.0,22.6
2001,4,17,84,85,1010.2,0.0,23.9
2001,4,18,93,91,1008.8,5.4,23.7
2001,4,19,95,94,1008.0,2.3,22.9
2001,4,20,87,84,1004.6,0.05,26.5
2001,4,21,92,87,1005.5,1.2,25.6
2001,4,22,99,90,1010.8,3.6,21.6
2001,4,23,93,90,1012.5,1.4,20.8
2001,4,24,90,89,1012.1,0.05,23.1
2001,4,25,96,91,1013.3,3.2,21.6
2001,4,26,71,82,1014.7,0.05,22.0
2001,4,27,73,79,1012.5,0.0,22.7
2001,4,28,89,90,1009.8,0.05,24.2
2001,4,29,83,87,1009.6,0.3,26.8
2001,4,30,67,82,1011.0,0.0,27.8
2001,5,1,86,85,1011.1,0.8,25.6
2001,5,2,88,87,1009.7,0.05,24.9
2001,5,3,92,90,1011.8,3.2,23.9
2001,5,4,89,87,1012.6,0.1,24.5
2001,5,5,68,82,1010.5,0.05,26.8
2001,5,6,71,80,1008.3,0.0,28.1
2001,5,7,83,78,1006.2,0.0,28.9
2001,5,8,88,82,1004.7,5.2,29.0
2001,5,9,87,87,1005.3,30.4,26.5
2001,5,10,88,80,1009.6,0.05,24.7
2001,5,11,76,79,1010.8,0.2,24.6
2001,5,12,68,75,1008.6,0.0,25.7
2001,5,13,37,76,1007.2,0.0,26.2
2001,5,14,60,75,1008.8,0.0,27.1
2001,5,15,85,80,1011.5,0.1,26.5
2001,5,16,88,80,1012.1,1.2,26.1
2001,5,17,85,87,1010.5,0.5,25.8
2001,5,18,91,86,1006.2,22.8,26.8
2001,5,19,88,89,1004.0,1.8,26.6
2001,5,20,75,81,1003.5,0.05,28.3
2001,5,21,88,83,1003.1,27.6,27.8
2001,5,22,87,88,1002.9,14.6,26.8
2001,5,23,80,87,1004.0,0.0,27.1
2001,5,24,54,83,1004.5,0.0,27.5
2001,5,25,84,82,1006.0,0.0,27.6
2001,5,26,58,80,1008.0,0.0,28.0
2001,5,27,64,72,1007.5,0.0,28.3
2001,5,28,80,81,1006.0,1.2,27.7
2001,5,29,74,80,1004.7,0.05,27.4
2001,5,30,89,89,1005.3,50.8,26.3
2001,5,31,85,81,1009.0,1.5,26.5
2001,6,1,85,74,1011.1,0.0,26.2
2001,6,2,89,86,1011.6,1.7,25.8
2001,6,3,88,82,1010.6,0.05,27.4
2001,6,4,88,78,1006.5,0.0,28.7
2001,6,5,90,85,1005.1,73.6,27.5
2001,6,6,91,91,1006.4,54.7,26.3
2001,6,7,95,91,1006.5,72.3,25.9
2001,6,8,97,95,1006.3,131.3,24.9
2001,6,9,93,93,1006.2,54.5,26.1
2001,6,10,92,83,1005.5,4.4,28.2
2001,6,11,93,90,1006.0,101.3,26.3
2001,6,12,90,88,1005.5,73.2,27.3
2001,6,13,89,84,1002.4,41.6,27.7
2001,6,14,85,82,1002.9,0.4,26.7
2001,6,15,80,88,1004.7,4.9,27.1
2001,6,16,80,84,1005.5,7.1,28.3
2001,6,17,58,79,1006.4,0.05,29.2
2001,6,18,43,75,1004.6,0.0,29.6
2001,6,19,57,75,1001.7,0.0,29.6
2001,6,20,83,85,1002.5,29.9,28.8
2001,6,21,73,82,1003.9,0.0,29.4
2001,6,22,39,77,1003.7,0.05,30.0
2001,6,23,64,81,1002.0,39.4,29.6
2001,6,24,89,85,1004.9,39.3,28.0
2001,6,25,88,94,1004.8,106.1,26.5
2001,6,26,89,92,1004.1,73.1,26.6
2001,6,27,91,93,1006.3,136.4,25.9
2001,6,28,73,87,1007.3,5.2,28.1
2001,6,29,78,84,1007.2,2.9,28.6
2001,6,30,86,89,1004.6,30.3,27.7
2001,7,1,92,88,1002.1,57.8,27.1
2001,7,2,88,88,1004.7,11.8,27.3
2001,7,3,72,85,1005.4,6.9,27.9
2001,7,4,60,68,998.9,0.0,29.7
2001,7,5,88,69,990.1,15.8,30.1
2001,7,6,97,87,986.5,142.1,26.7
2001,7,7,91,84,1002.6,8.8,28.6
2001,7,8,86,89,1008.8,1.4,28.1
2001,7,9,60,81,1008.8,0.0,29.0
2001,7,10,25,78,1006.9,0.0,29.1
2001,7,11,70,80,1004.4,0.0,29.3
2001,7,12,87,82,1002.3,0.0,29.5
2001,7,13,90,83,1003.7,41.0,27.0
2001,7,14,86,80,1006.3,1.2,29.3
2001,7,15,92,92,1007.6,114.0,26.0
2001,7,16,88,87,1006.5,1.0,27.0
2001,7,17,89,87,1003.3,37.0,27.2
2001,7,18,91,89,1002.3,45.8,26.8
2001,7,19,86,89,1004.7,10.8,27.0
2001,7,20,81,90,1004.8,21.5,27.6
2001,7,21,86,93,1005.3,87.3,26.8
2001,7,22,71,87,1008.0,4.2,28.0
2001,7,23,51,78,1006.9,0.0,29.1
2001,7,24,83,84,1003.7,14.5,28.1
2001,7,25,94,86,1003.0,17.7,26.7
2001,7,26,88,90,1006.5,15.8,27.0
2001,7,27,77,87,1006.9,0.05,28.1
2001,7,28,68,80,1006.1,0.0,28.8
2001,7,29,32,78,1005.6,0.0,29.2
2001,7,30,58,77,1005.7,0.05,29.9
2001,7,31,71,76,1004.9,0.05,30.2
2001,8,1,88,83,1004.3,11.3,28.6
2001,8,2,86,90,1006.2,54.5,26.9
2001,8,3,80,87,1010.3,0.05,27.7
